serviceCharge,picturecount,pricetrend,livingSpace,baseRentRange,noRooms,noRoomsRange,livingSpaceRange,totalRent
200.0,17,4.98,79.55,6,3,3,3,1120.0
160.0,14,0.2,80.0,3,3,3,3,650.0
180.0,17,3.64,80.0,2,3,3,3,600.0
134.0,7,1.72,56.17,2,3,3,2,499.0
150.0,7,4.42,95.0,6,3,3,4,1170.0
238.0,6,2.96,56.12,2,2,2,2,598.85
257.43,11,2.91,105.23,5,4,4,5,966.43
110.0,9,2.13,61.21,1,2,2,3,359.0
153.0,8,1.5,64.93,2,3,3,3,491.0
190.0,10,3.79,130.0,6,3,3,6,1040.0
184.4,24,1.95,73.7,4,3,3,3,774.0
90.0,22,1.54,91.46,4,3,3,4,750.0
78.35,9,1.65,48.97,2,2,2,2,433.38
200.0,2,3.64,89.85,5,3,3,4,820.0
120.0,9,3.8,53.0,2,2,2,2,505.0
225.0,32,7.24,99.54,6,3,3,4,1095.0
176.0,7,4.91,88.0,5,3,3,4,792.0
190.0,3,4.74,89.0,7,4,4,4,1258.0
90.0,8,4.79,47.95,3,2,2,2,605.34
180.0,17,2.33,80.29,3,3,3,3,630.0
140.0,14,5.03,84.0,5,2,2,4,930.0
300.0,18,6.54,142.0,9,3,3,6,2800.0
83.0,3,0.0,37.86,1,2,2,1,284.0
170.0,1,3.08,60.87,3,2,2,2,580.0
110.0,7,4.36,60.67,2,3,3,2,508.0
150.0,9,6.78,69.23,7,3,3,3,1400.0
121.0,20,6.06,55.0,3,2,2,2,589.0
160.0,11,4.19,134.98,5,4,4,6,990.0
100.0,3,4.23,33.0,1,1,1,1,380.0
140.0,10,2.82,25.36,1,1,1,1,390.0
156.0,7,2.43,72.09,5,3,3,3,868.23
175.0,23,5.81,76.0,5,2,2,3,930.0
59.0,7,0.21,53.54,1,2,2,2,362.0
181.0,7,4.17,95.0,7,2,2,4,1454.0
500.0,10,2.15,149.0,7,5,5,6,1800.0
94.0,2,3.06,77.49,3,4,4,3,645.92
137.0,7,7.21,48.86,7,2,2,2,1481.0
221.0,17,5.59,96.09,7,4,4,4,1278.0
90.0,7,4.18,65.0,2,3,3,3,490.0
350.0,19,3.9,132.0,7,4,4,6,1775.0
120.0,10,5.0,58.0,5,2,2,2,730.0
140.0,14,1.89,52.0,2,2,2,2,500.0
136.08,12,2.22,68.04,1,3,3,3,436.08
222.0,12,4.23,85.3,6,2,2,4,1207.0
266.0,11,3.45,88.0,3,3,3,4,750.0
150.0,3,4.54,55.16,2,2,2,2,510.0
150.0,17,1.92,85.0,3,3,3,4,650.0
120.0,10,2.77,33.0,1,1,1,1,400.0
110.0,3,3.34,60.9,3,3,3,2,542.0
220.0,10,4.2,92.0,7,2,2,4,1670.0
82.34,3,2.04,35.8,1,2,2,1,248.45
280.0,9,3.85,118.0,5,4,4,5,890.0
150.0,5,4.07,85.0,4,3,3,4,740.0
182.0,9,0.0,86.0,4,3,3,4,821.0
285.0,12,5.05,116.82,7,3,3,5,1319.84
115.0,5,4.4,64.79,2,3,3,3,493.71
54.0,10,0.59,29.69,1,1,1,1,242.0
215.0,11,5.03,86.79,5,3,3,4,997.0
600.0,13,5.16,191.2,9,4,4,7,4100.0
130.0,5,1.75,59.1,2,3,3,2,440.0
70.0,8,3.82,68.0,3,2,2,3,560.0
176.15,17,3.06,81.42,5,2,2,4,886.15
167.26,2,3.19,60.22,1,3,3,2,438.25
140.0,8,4.33,73.0,3,2,2,3,590.0
315.4,32,7.79,105.0,7,4,4,5,1383.0
185.0,5,6.76,117.8,6,3,3,5,1200.0
130.0,9,4.71,81.6,5,4,4,4,612.0
160.0,16,3.03,65.0,3,2,2,3,640.0
125.0,11,0.39,63.26,1,2,2,3,385.0
144.32,7,3.66,72.16,6,2,2,3,1070.13
230.0,9,2.95,88.0,5,2,2,4,960.0
149.0,10,0.17,66.59,3,2,2,3,602.0
150.0,25,6.76,74.0,5,2,2,3,895.0
130.69,3,9.3,87.0,6,3,3,4,1118.82
150.0,0,4.3,70.0,6,3,3,3,1000.0
265.85,10,3.57,59.74,2,3,3,2,660.74
180.0,12,3.63,90.0,4,3,3,4,720.0
250.0,2,3.83,117.0,7,4,4,5,1400.0
106.0,5,2.9,71.46,5,2,2,3,788.0
112.0,7,3.86,69.0,2,3,3,3,482.46
180.0,10,5.33,45.0,5,2,2,2,960.0
100.0,9,4.35,66.4,4,3,3,3,722.0
81.0,7,3.66,45.38,2,2,2,2,506.0
134.0,6,-0.67,74.27,3,2,2,3,619.0
134.0,8,2.3,59.85,1,3,3,2,380.0
273.0,9,4.01,109.0,6,3,3,5,1254.0
110.0,9,3.99,76.0,3,2,2,3,700.0
120.0,5,3.45,83.0,3,2,2,4,580.0
200.0,7,3.9,40.0,3,1,1,1,699.0
90.73,12,3.28,90.73,2,3,3,4,530.53
221.0,14,3.21,88.57,6,2,2,4,1156.0
180.0,19,1.19,72.31,3,2,2,3,600.0
250.0,13,3.49,91.76,6,3,3,4,1150.0
89.0,2,2.44,62.8,3,3,3,3,659.42
70.0,10,0.21,31.0,1,1,1,1,198.0
205.0,9,3.51,83.0,4,3,3,4,735.0
100.0,7,3.49,70.62,4,2,2,3,799.0
160.0,21,4.03,84.0,6,3,3,4,990.0
174.0,4,2.79,65.03,2,3,3,3,532.0
280.0,10,5.05,111.0,7,3,3,5,1500.0
120.0,0,3.95,48.0,2,2,2,2,510.0
210.0,9,3.33,80.0,6,3,3,3,1170.0
170.0,10,5.02,82.0,4,4,4,4,745.0
165.0,21,1.18,79.9,2,4,4,3,500.0
170.0,11,0.19,68.9,1,3,3,3,445.0
125.0,1,2.75,59.65,2,3,3,2,512.0
200.0,7,1.78,90.0,5,3,3,4,880.0
100.0,11,3.2,80.0,3,4,4,3,595.0
27.5,8,3.14,22.35,1,1,1,1,244.5
132.0,5,0.87,66.0,4,2,2,3,789.0
70.0,28,0.74,83.0,3,4,4,4,626.0
149.16,5,4.84,60.88,3,2,2,2,575.32
132.0,5,-2.64,87.8,7,3,3,4,1224.0
85.0,9,3.49,27.6,2,1,1,1,445.0
250.0,16,4.61,95.0,7,4,4,4,1750.0
180.0,7,5.24,74.0,4,2,2,3,760.0
125.0,2,4.06,66.5,4,2,2,3,660.0
120.0,10,1.65,66.0,5,3,3,3,800.0
255.0,10,3.16,50.61,3,2,2,2,750.0
0.0,5,3.84,72.0,5,2,2,3,760.0
200.0,14,3.74,77.0,5,3,3,3,950.0
0.0,29,6.15,104.0,9,4,4,5,2100.0
101.0,17,6.82,72.48,6,3,3,3,1095.0
0.0,28,5.08,115.0,9,4,4,5,2840.0
270.0,1,4.23,170.0,7,4,4,7,1320.0
70.0,10,1.82,36.39,1,3,3,1,360.0
50.0,11,4.41,79.0,5,2,2,3,670.0
135.0,46,6.58,87.0,7,4,4,4,1480.0
110.0,10,3.47,75.0,7,3,3,3,1160.0
170.0,0,6.07,72.46,4,3,3,3,697.73
160.0,0,5.33,80.0,6,4,4,3,1120.0
56.0,10,1.3,46.15,1,2,2,2,361.52
125.0,13,3.45,25.0,2,1,1,1,520.0
190.0,12,3.57,65.93,4,2,2,3,745.0
45.0,15,4.83,37.0,1,1,1,1,315.0
184.0,6,1.91,63.77,3,3,3,3,634.0
45.0,2,8.22,45.0,2,1,1,2,450.0
95.58,9,4.55,43.44,2,2,2,2,443.09
200.0,9,2.33,100.0,3,3,3,4,700.0
70.0,1,6.83,42.0,3,2,2,2,629.0
100.0,8,4.17,58.47,3,2,2,2,638.5
200.0,3,3.1,90.0,5,4,4,4,920.0
160.0,10,5.8,60.0,3,2,2,2,580.0
200.0,0,5.8,71.0,6,2,2,3,1200.0
70.0,20,5.26,62.0,4,3,3,3,610.0
154.15,8,4.27,70.07,6,1,1,3,1126.7
83.4,6,1.56,59.57,2,3,3,2,502.78
200.0,5,3.75,133.0,7,4,4,6,1397.0
110.0,11,4.62,50.58,2,2,2,2,485.0
